,City,Country,Date,Lat,Lng,Cloudiness %,Humidity %,Max temp (F),Wind speed (mph)
49,Port Macquarie,AU,1658532184,-31.4333,152.9167,52,79,57.88,11.3
50,Port Alfred,ZA,1658531912,-33.5906,26.891,100,67,62.31,10.89
51,Busselton,AU,1658532185,-33.65,115.3333,73,80,59.47,20.87
52,Beisfjord,NO,1658532185,68.3751,17.5988,100,91,53.04,6.42
53,Touros,BR,1658531899,-5.1989,-35.4608,100,85,75.6,13.98
54,Hasaki,JP,1658532185,35.7333,140.8333,0,77,86.29,17.45
55,Hilo,US,1658532140,19.7297,-155.09,40,79,86.29,5.75
56,Chui,UY,1658532063,-33.6971,-53.4616,92,98,54.43,4.88
57,Punta Arenas,CL,1658532016,-53.15,-70.9167,0,75,35.71,13.8
58,Dikson,RU,1658532186,73.5069,80.5464,88,78,51.62,14.0
59,Bluff,NZ,1658532187,-46.6,168.3333,8,81,37.8,6.33
60,Klyuchi,RU,1658532187,52.2667,79.1667,20,72,61.86,5.39
61,Safi,MA,1658532187,32.2994,-9.2372,69,69,78.24,19.44
62,Berdigestyakh,RU,1658532188,62.0989,126.6992,98,88,65.68,0.92
63,Chunoyar,RU,1658532188,57.4467,97.3217,99,91,59.81,1.86
64,North Bend,US,1658532188,43.4065,-124.2243,0,79,74.91,20.71
65,Pijijiapan,MX,1658532189,15.7011,-93.23,96,74,84.58,4.7
66,Bredasdorp,ZA,1658532189,-34.5322,20.0403,100,91,55.13,9.31
67,Narsaq,GL,1658532189,60.9167,-46.05,42,74,59.22,4.56
68,Ullapool,GB,1658532190,57.8987,-5.1604,100,88,56.35,5.26
69,Dwārka,IN,1658532190,22.2394,68.9678,79,83,81.77,21.03
70,Mahébourg,MU,1658532068,-20.4081,57.7,75,88,68.29,10.36
71,Laguna,US,1658531972,38.421,-121.4238,0,16,104.14,10.36
72,Hirara,JP,1658532191,24.8,125.2833,20,79,86.27,9.22
73,Faanui,PF,1658532191,-16.4833,-151.75,20,73,78.19,9.51
74,Kohlu,PK,1658532191,29.8962,69.252,98,74,77.38,3.51
75,Ishurdi,BD,1658532192,24.1333,89.0833,99,88,79.77,4.97
76,St. George's,GD,1658532192,12.0564,-61.7485,20,78,80.28,12.66
77,Mar del Plata,AR,1658531996,-38.0023,-57.5575,68,89,48.87,2.3
78,Batagay-Alyta,RU,1658532193,67.8006,130.4114,100,65,65.93,7.76
79,Kastamonu Province,TR,1658532193,41.5,33.6667,0,77,51.96,3.67
80,Nyurba,RU,1658532193,63.2842,118.3319,100,81,66.4,4.03
81,Flinders,AU,1658532194,-34.5833,150.8552,76,93,57.06,5.99
82,Vozhega,RU,1658532194,60.4725,40.2213,29,79,59.85,4.81
83,Omboué,GA,1658532195,-1.5746,9.2618,63,83,70.48,8.01
84,Naze,JP,1658532195,28.3667,129.4833,28,74,81.52,7.23
85,Juba,SS,1658532195,4.8517,31.5825,86,83,71.98,5.3
86,Pangkalanbuun,ID,1658532196,-2.6833,111.6167,67,98,73.62,1.77
87,Cervo,ES,1658532196,43.6702,-7.4101,42,78,63.97,9.89
88,Saint-François,FR,1658532197,46.4154,3.9054,0,64,71.04,9.22
89,Bjørnevatn,NO,1658532197,69.6672,29.9847,75,87,53.94,3.44
90,Vaini,TO,1658532197,-21.2,-175.2,75,94,73.56,6.91
91,Dingle,PH,1658532198,10.9995,122.6711,82,88,79.32,3.36
92,Erdenet,MN,1658532198,49.0333,104.0833,96,88,50.5,3.18
93,Sri Aman,MY,1658532199,1.2376,111.4621,87,100,73.45,3.44
94,Beringovskiy,RU,1658532199,63.05,179.3167,100,87,46.89,9.57
95,Saint Anthony,US,1658532199,45.0205,-93.218,0,39,94.17,11.5
96,Cabo San Lucas,MX,1658531957,22.8909,-109.9124,0,34,99.61,6.91
97,Krasnoyarskiy,RU,1658532200,51.965,59.8967,19,59,62.42,5.53
98,Butaritari,KI,1658532200,3.0707,172.7902,47,75,81.37,9.62
99,Padang,ID,1658532200,-0.9492,100.3543,98,85,77.9,4.0
100,Hobart,AU,1658531919,-42.8794,147.3294,75,84,52.27,1.14
101,Hopkinsville,US,1658531917,36.8656,-87.4886,0,58,100.62,4.7
102,Longyearbyen,SJ,1658532201,78.2186,15.6401,75,87,48.04,2.3
103,Okha,RU,1658532053,53.5739,142.9478,98,67,59.83,9.1
104,Christiana,ZA,1658532202,-27.914,25.1611,84,53,57.74,7.85
105,Jamestown,US,1658531709,42.097,-79.2353,0,50,82.02,11.5
106,Cherskiy,RU,1658532133,68.75,161.3,14,53,48.96,4.18
107,Aklavik,CA,1658532202,68.2191,-135.0107,75,72,66.2,12.66
108,Acarí,PE,1658532202,-15.4311,-74.6158,25,76,63.99,4.05
109,Puerto Ayora,EC,1658532203,-0.7393,-90.3518,38,88,70.56,7.0
110,Barrow,US,1658532203,71.2906,-156.7887,100,87,41.02,11.5
111,Torrington,US,1658532204,41.8007,-73.1212,82,63,88.77,1.99
112,Steamboat Springs,US,1658531994,40.485,-106.8317,75,27,89.19,12.66
113,College,US,1658532204,64.8569,-147.8028,75,64,62.55,6.91
114,Houston,US,1658532004,29.7633,-95.3633,0,68,89.96,10.36
115,Soyo,AO,1658532205,-6.1349,12.3689,75,88,68.45,4.81
116,Cayenne,GF,1658532205,4.9333,-52.3333,77,1,81.09,0.0
117,Qarqīn,AF,1658532205,37.4185,66.0436,0,10,89.11,7.65
118,Bambanglipuro,ID,1658532206,-7.95,110.2833,82,88,73.36,4.74
119,Rawson,AR,1658532206,-43.3002,-65.1023,98,35,41.22,4.0
120,Toktogul,KG,1658532207,41.8708,72.9402,0,33,75.31,2.33
121,Pangnirtung,CA,1658532207,66.1451,-65.7125,9,56,54.72,3.0
122,Tsumeb,NA,1658532207,-19.2333,17.7167,17,41,60.94,8.59
123,Sistranda,NO,1658532208,63.7256,8.834,29,87,51.76,16.24
124,Constitución,CL,1658532208,-35.3333,-72.4167,30,93,53.67,8.16
125,Coquimbo,CL,1658532197,-29.9533,-71.3436,100,82,55.13,2.3
126,Monze,ZM,1658532209,-16.2833,27.4833,9,61,57.02,6.06
127,Butembo,CD,1658532209,0.15,29.2833,98,84,58.06,2.8
128,Santa Marta,CO,1658532158,11.2408,-74.199,99,89,80.22,9.44
129,Vostok,RU,1658532209,46.4856,135.8833,95,84,62.51,2.46
130,Leningradskiy,RU,1658532210,69.3833,178.4167,89,83,37.99,9.06
131,Sibolga,ID,1658532210,1.7427,98.7792,93,87,75.22,4.29
132,Hong Kong,HK,1658531934,22.2855,114.1577,44,82,88.32,1.01
133,Chokurdakh,RU,1658532211,70.6333,147.9167,99,49,52.86,13.67
134,Luang Prabang,LA,1658532211,19.8856,102.1347,99,100,72.5,1.25
135,Olafsvik,IS,1658532211,64.8945,-23.7142,31,80,53.78,4.16
136,Upernavik,GL,1658532212,72.7868,-56.1549,100,94,42.6,19.42
137,Pevek,RU,1658532212,69.7008,170.3133,98,89,32.92,5.7
138,Verkhoyansk,RU,1658532213,67.5447,133.385,97,68,69.4,7.74
139,Byron Bay,AU,1658532016,-28.65,153.6167,100,82,57.94,20.83
140,Morondava,MG,1658532213,-20.2833,44.2833,5,70,67.89,2.24
141,Kavieng,PG,1658532213,-2.5744,150.7967,28,76,82.6,10.49
142,Tilichiki,RU,1658532214,60.4667,166.1,8,51,59.72,1.36
143,Kaeo,NZ,1658532214,-35.1,173.7833,91,71,56.14,15.46
144,Dunedin,NZ,1658532197,-45.8742,170.5036,12,63,48.79,8.01
145,Grove City,US,1658532215,39.8815,-83.093,0,49,88.02,13.8
146,Castro,BR,1658532215,-24.7911,-50.0119,81,71,59.0,2.19
147,Labuhan,ID,1658532215,-6.8844,112.2051,60,85,74.66,7.2
148,Delījān,IR,1658532216,33.9905,50.6838,0,12,85.86,5.17
149,Alice Springs,AU,1658532216,-23.7,133.8833,1,40,53.15,0.0
150,George Town,MY,1658531940,5.4112,100.3354,20,95,78.89,0.0
151,Kazygurt,KZ,1658532217,41.7589,69.3864,0,16,81.55,6.76
152,Samarai,PG,1658532217,-10.6167,150.6667,34,77,80.89,5.35
153,Vengerovo,RU,1658532217,55.6848,76.7471,81,89,51.37,7.31
154,Oga,IT,1658532218,46.4631,10.347,89,78,65.08,0.92
155,Paraná,AR,1658532218,-31.732,-60.5238,35,83,64.54,8.21
156,Laje,BR,1658532219,-10.1833,-40.9667,86,77,67.26,4.65
157,Los Llanos de Aridane,ES,1658532219,28.6585,-17.9182,0,83,67.75,17.27
158,Zaysan,KZ,1658532219,47.4667,84.8667,97,75,64.78,3.18
159,Kalāleh,IR,1658532220,37.3807,55.4916,86,83,76.87,7.61
160,Victor Harbor,AU,1658532220,-35.5667,138.6167,65,93,53.67,8.39
161,Cartagena,CO,1658531975,10.3997,-75.5144,40,78,82.02,5.75
162,Baykit,RU,1658532221,61.67,96.37,99,89,61.29,2.55
163,Bengkulu,ID,1658532221,-3.8004,102.2655,80,87,75.02,4.36
164,Zalegoshch',RU,1658532221,52.9008,36.8869,24,95,56.77,7.74
165,Port Hedland,AU,1658531959,-20.3167,118.5667,0,100,64.45,6.91
166,Harjavalta,FI,1658532222,61.3167,22.1333,97,98,65.93,5.82
167,Avera,US,1658532222,33.194,-82.5271,100,59,87.31,5.03
168,Al Bardīyah,LY,1658532223,31.7561,25.0865,0,72,76.98,11.07
169,Yellowknife,CA,1658532223,62.456,-114.3525,20,52,68.52,10.36
170,Bethel,US,1658532223,41.3712,-73.414,23,62,86.36,6.69
171,Bonthe,SL,1658532224,7.5264,-12.505,94,82,77.25,10.02
172,Vila Velha,BR,1658532224,-20.3297,-40.2925,40,91,73.35,4.61
173,Khani,GE,1658532225,41.9563,42.9566,33,93,54.97,3.53
174,Sarny,UA,1658532225,51.338,26.6019,1,73,63.97,5.48
175,Kastornoye,RU,1658532225,51.8334,38.1302,52,95,55.99,8.86
176,Avarua,CK,1658532226,-21.2078,-159.775,80,78,78.85,8.05
177,Eidfjord,NO,1658532226,60.4675,7.0719,91,78,67.69,1.14
178,Gizo Government Station,SB,1658532227,-8.103,156.8419,2,71,83.35,6.93
179,Omsukchan,RU,1658532227,62.5333,155.8,75,38,59.13,6.31
180,Ikeda,JP,1658532227,34.8221,135.4298,40,85,82.2,9.22
181,Tuatapere,NZ,1658532051,-46.1333,167.6833,13,84,42.1,4.0
182,Saint-Joseph,RE,1658532228,-21.3667,55.6167,21,81,64.78,12.91
183,Saldanha,ZA,1658532228,-33.0117,17.9442,100,89,53.65,8.86
184,Ancud,CL,1658532229,-41.8697,-73.8203,100,97,41.23,18.43
185,Eyl,SO,1658532229,7.9803,49.8164,79,73,77.41,23.58
186,Grand-Santi,GF,1658532229,4.25,-54.3833,65,99,73.09,1.9
187,Redcar,GB,1658532230,54.6166,-1.06,99,57,58.08,5.01
188,Pemangkat,ID,1658532230,1.1667,108.9667,37,89,76.39,5.37
189,Port-Gentil,GA,1658532231,-0.7193,8.7815,100,83,75.16,10.36
190,Chengde,CN,1658532231,40.9725,117.9361,100,92,67.06,2.91
191,Makkah al Mukarramah,SA,1658532047,21.4267,39.8261,21,57,87.24,3.62
192,Makakilo City,US,1658532231,21.3469,-158.0858,20,50,88.12,13.8
193,Ambilobe,MG,1658532232,-13.2,49.05,0,81,62.91,3.85
194,Grand Gaube,MU,1658531985,-20.0064,57.6608,1,81,68.4,1.99
195,Pingliang,CN,1658532232,35.5392,106.6861,0,80,62.78,3.2
196,Salalah,OM,1658532232,17.0151,54.0924,100,94,77.09,5.75
197,Haines Junction,CA,1658532233,60.7522,-137.5108,86,39,62.55,11.5
198,Staraya Toropa,RU,1658532233,56.2801,31.6702,100,80,59.67,3.38
199,Natal,BR,1658532234,-5.795,-35.2094,20,88,77.22,6.91
200,Santana do Paraíso,BR,1658532234,-19.3636,-42.5686,0,68,61.12,1.14
201,Luga,RU,1658532234,58.7372,29.8453,66,79,61.97,5.23
202,Stykkisholmur,IS,1658532235,65.0757,-22.7297,60,81,54.21,3.71
203,Khatanga,RU,1658532235,71.9667,102.5,100,89,41.81,15.19
204,Aberdeen,GB,1658532014,57.1437,-2.0981,100,90,54.09,4.61
205,Pingdingshan,CN,1658532236,33.7385,113.3012,20,83,71.28,4.23
206,San Quintín,MX,1658532236,30.4833,-115.95,93,65,73.31,15.97
207,Itoman,JP,1658532237,26.1247,127.6694,75,84,86.4,10.36
208,Antalaha,MG,1658532237,-14.9003,50.2788,33,90,66.24,6.58
209,Verkhnyaya Inta,RU,1658532238,65.9811,60.3094,78,91,40.51,8.34
210,Kruisfontein,ZA,1658532238,-34.0033,24.7314,100,79,48.88,6.31
211,San Patricio,US,1658532239,28.017,-97.5169,2,46,94.17,16.64
212,Shingū,JP,1658532239,33.7333,135.9833,1,67,80.91,2.37
213,Fort Nelson,CA,1658532240,58.8053,-122.7002,40,33,74.79,6.91
214,Hokitika,NZ,1658532240,-42.7167,170.9667,100,72,47.3,6.42
215,Shetpe,KZ,1658532241,44.1667,52.1167,60,63,74.1,16.22
216,Norrtälje,SE,1658532241,59.758,18.705,95,96,64.83,4.94
217,Gorom-Gorom,BF,1658532242,14.4439,-0.2361,47,43,90.59,10.49
218,Arman',RU,1658532242,59.7,150.1667,53,66,73.02,2.95
219,Seabra,BR,1658532242,-12.4186,-41.7703,28,74,62.17,2.86
220,Ranong,TH,1658532243,9.9658,98.6348,93,85,75.13,3.78
221,Ashland,US,1658532187,40.8167,-82.2665,23,58,85.26,9.17
222,Clyde River,CA,1658532243,70.4692,-68.5914,75,62,57.43,13.8
223,Takoradze,GH,1658532011,4.8845,-1.7554,79,81,74.43,8.77
224,Departamento de Maldonado,UY,1658532244,-34.6667,-54.9167,11,97,52.99,4.79
225,Dno,RU,1658532244,57.8277,29.9637,46,83,60.31,5.19
226,Sinjār,IQ,1658532245,36.3209,41.8754,0,15,85.59,6.24
227,Kentau,KZ,1658532245,43.5206,68.5094,0,22,84.85,15.88
228,Sitka,US,1658532246,57.0531,-135.33,100,82,55.29,8.05
229,Iqaluit,CA,1658532246,63.7506,-68.5145,75,81,49.73,3.44
230,Balkanabat,TM,1658532246,39.5108,54.3671,0,70,77.4,8.79
231,Port Elizabeth,ZA,1658532247,-33.918,25.5701,0,84,58.32,8.05
232,Narón,ES,1658532247,43.5167,-8.1528,0,86,64.6,8.72
233,Tsalenjikha,GE,1658532248,42.6044,42.0682,35,94,61.59,4.18
234,Thompson,CA,1658532248,55.7435,-97.8558,100,77,59.16,2.3
235,Geraldton,AU,1658532248,-28.7667,114.6,75,87,52.21,14.97
236,Boddam,GB,1658532249,57.4667,-1.7833,100,75,53.98,5.88
237,Lagoa,PT,1658532249,39.05,-27.9833,100,91,72.16,8.66
238,East London,ZA,1658531995,-33.0153,27.9116,29,50,66.42,11.68
239,Mikhaylovka,RU,1658532250,50.06,43.2379,80,93,61.79,3.11
240,Yanam,IN,1658532250,16.7333,82.2167,100,88,77.7,7.07
241,Bulolo,PG,1658532250,-7.2,146.65,45,81,76.68,2.06
242,Norman Wells,CA,1658532251,65.282,-126.8329,75,36,78.84,11.5
243,Rabo de Peixe,PT,1658532251,37.8,-25.5833,20,68,73.27,3.44
244,Palauig,PH,1658532252,15.435,119.9045,24,75,82.72,2.95
245,Río Gallegos,AR,1658532252,-51.6226,-69.2181,0,69,35.65,14.97
246,San Cristobal,VE,1658532137,7.7669,-72.225,61,82,75.38,3.27
247,Carnarvon,AU,1658532253,-24.8667,113.6333,6,67,61.65,9.53
248,Basoko,CD,1658532253,1.2391,23.616,100,92,71.71,4.76
249,Zeya,RU,1658532254,53.75,127.2667,7,62,72.73,0.78
250,Zuwārah,LY,1658532254,32.9312,12.082,0,68,78.66,12.06
251,Carutapera,BR,1658532255,-1.195,-46.02,55,86,77.36,6.51
252,Zelenoborskiy,RU,1658532255,66.845,32.3622,94,92,56.34,5.68
253,Maniitsoq,GL,1658532256,65.4167,-52.9,87,87,45.39,4.97
254,Caravelas,BR,1658532257,-17.7125,-39.2481,2,81,69.85,4.99
255,Aojiang,CN,1658532257,22.9421,116.0359,8,81,82.87,4.38
256,Klaksvík,FO,1658532257,62.2266,-6.589,100,84,50.92,7.49
257,Sakakah,SA,1658532258,29.9697,40.2064,1,16,92.77,9.42
258,Kahului,US,1658532258,20.8947,-156.47,40,58,89.62,21.85
259,Belle Glade,US,1658532259,26.6845,-80.6676,100,70,86.05,8.66
260,Sambava,MG,1658532259,-14.2667,50.1667,40,88,66.83,10.49
261,Westport,US,1658532260,41.1415,-73.3579,75,62,87.62,9.22
262,Kabinda,CD,1658532260,-6.1333,24.4833,88,38,73.53,4.16
263,Piet Retief,ZA,1658532260,-27.0071,30.8132,5,94,46.24,3.94
264,Delta,NG,1658532261,5.5,6.0,100,91,74.23,3.56
265,Krasnorechenskiy,RU,1658532261,44.6265,135.3532,91,86,61.59,2.66
266,Urrutia,HN,1658532262,14.7427,-87.0422,100,90,76.21,1.74
267,Srednekolymsk,RU,1658532262,67.45,153.6833,8,49,53.01,13.24
268,Black River,JM,1658532262,18.0264,-77.8487,49,68,85.84,9.33
269,Lázaro Cárdenas,MX,1658532263,17.9583,-102.2,96,67,85.8,6.58
270,Son La,VN,1658532198,21.3167,103.9,55,99,67.87,0.89
271,Morón,AR,1658532263,-34.6534,-58.6198,4,85,57.06,6.42
272,Qurayyat,SA,1658532264,31.3318,37.3428,0,57,77.18,11.5
273,Dhārchula,IN,1658532264,29.85,80.5333,100,95,73.11,0.76
274,Jadu,LY,1658532264,31.953,12.0261,0,43,71.22,6.8
275,Alto Paraguai,BR,1658532265,-14.5136,-56.4825,2,33,78.98,4.38
276,Souillac,MU,1658532265,-20.5167,57.5167,75,88,68.38,10.36
277,Ahipara,NZ,1658532265,-35.1667,173.1667,100,70,57.09,12.03
278,Yangjiang,CN,1658532266,21.85,111.9667,2,85,79.23,3.56
279,Hot Springs,US,1658532266,34.5037,-93.0552,0,36,100.56,5.75
280,Kaitangata,NZ,1658532267,-46.2817,169.8464,13,86,40.3,2.84
281,Ipatinga,BR,1658532267,-19.4683,-42.5367,0,68,64.47,1.14
282,Hualmay,PE,1658532267,-11.0964,-77.6139,36,81,62.55,8.7
283,Meulaboh,ID,1658532268,4.1363,96.1285,100,85,76.98,5.3
284,Necochea,AR,1658532268,-38.5473,-58.7368,85,89,44.04,6.55
285,San Jose,US,1658531976,37.3394,-121.895,20,42,92.84,13.8
286,Baoqing,CN,1658532268,46.3317,132.2111,79,89,62.22,7.07
287,Togur,RU,1658532269,58.3631,82.8265,77,92,49.51,12.53
288,Diffa,NE,1658532269,13.3154,12.6113,87,58,85.19,5.97
289,Laramie,US,1658532270,41.3114,-105.5911,0,12,86.38,6.91
290,‘Āhuimanu,US,1658532270,21.4447,-157.8378,40,65,89.31,13.8
291,Nemuro,JP,1658532270,43.3236,145.575,100,98,58.05,15.17
292,Havøysund,NO,1658532271,70.9963,24.6622,76,89,52.03,21.12
293,Sur,OM,1658532271,22.5667,59.5289,90,69,86.16,10.11
294,Bayir,TR,1658532272,37.2687,28.2167,0,36,72.12,6.06
295,Zhezkazgan,KZ,1658532272,47.8043,67.7144,28,33,70.88,8.08
296,Camaná,PE,1658532273,-16.6228,-72.7111,76,85,60.26,4.5
297,Bābai,IN,1658532273,22.7,77.9333,100,98,74.97,4.0
298,Hofn,IS,1658532273,64.2539,-15.2082,58,91,51.94,6.38
299,Provideniya,RU,1658532274,64.3833,-173.3,76,79,46.24,6.85
300,Anloga,GH,1658532274,5.7947,0.8973,53,86,75.47,12.59
301,Tiarei,PF,1658532275,-17.5333,-149.3333,14,78,84.22,7.67
302,Lakatoro,VU,1658532275,-16.0999,167.4164,77,81,80.89,13.33
303,Fairbanks,US,1658532002,64.8378,-147.7164,100,64,62.56,6.91
304,Severo-Kuril'sk,RU,1658531980,50.6789,156.125,52,90,55.47,6.38
305,Nampula,MZ,1658532276,-15.1165,39.2666,75,94,66.15,3.44
306,Aykhal,RU,1658532276,66.0,111.5,8,69,61.47,4.0
307,San Nicolas,PH,1658532276,18.1725,120.5953,20,89,80.51,6.91
308,Moerai,PF,1658532277,-22.4333,-151.3333,88,61,73.27,11.36
309,Valdivia,CL,1658532277,-39.8142,-73.2459,100,97,53.69,10.83
310,Murmashi,RU,1658532277,68.8154,32.8115,21,100,43.21,2.24
311,Sokoni,TZ,1658532278,-6.4333,39.55,2,78,75.13,16.08
312,Port Lincoln,AU,1658532278,-34.7333,135.8667,41,76,52.2,5.64
313,Gimli,CA,1658532279,50.6336,-96.9907,35,61,72.21,7.25
314,Buraidah,SA,1658532279,26.326,43.975,32,13,88.25,8.19
315,Salinas,US,1658532244,36.6777,-121.6555,0,58,98.56,14.97
316,Yangi Marg`ilon,UZ,1658532280,40.4272,71.7189,0,41,77.72,4.61
317,Rindal,NO,1658532280,63.0565,9.2124,84,91,47.8,5.21
318,Halifax,CA,1658532097,44.6453,-63.5724,20,78,84.09,5.75
319,Walvis Bay,NA,1658532280,-22.9575,14.5053,0,77,58.15,8.05
320,Lompoc,US,1658532061,34.6391,-120.4579,0,73,73.85,24.0
321,Elizabeth City,US,1658532262,36.2946,-76.2511,0,67,91.42,8.05
322,Fortuna,US,1658532281,40.5982,-124.1573,6,70,68.94,4.0
323,Maceió,BR,1658532096,-9.6658,-35.7353,100,88,74.64,4.61
324,Dukat,RU,1658532281,62.55,155.55,67,39,57.51,5.44
325,Colac,AU,1658532282,-38.3333,143.5833,100,95,50.83,6.58
326,Jutaí,BR,1658532282,-5.1833,-68.9,89,97,74.52,1.16
327,Eydhafushi,MV,1658532282,5.1033,73.0708,100,75,81.72,16.8
328,Adrar,MR,1658532283,20.5022,-10.0711,41,46,87.73,19.51
329,Middelburg,ZA,1658532283,-25.7751,29.4648,99,73,54.16,8.57
330,Bacabal,BR,1658532284,-4.2917,-44.7917,71,53,81.5,2.01
331,Gacko,BA,1658532284,43.1672,18.5353,0,50,65.52,3.22
332,Tommot,RU,1658532284,58.9564,126.2925,100,66,75.06,0.85
333,Port Moresby,PG,1658532285,-9.4431,147.1797,75,83,80.02,11.5
334,Caconda,AO,1658532285,-13.7333,15.0667,28,34,57.83,3.13
335,Dindori,IN,1658532285,22.95,81.0833,100,94,73.92,0.89
336,Caniço,PT,1658532286,32.6333,-16.85,20,79,71.71,20.71
337,Navrongo,GH,1658532286,10.8956,-1.0921,99,88,76.06,5.21
338,Anadyr,RU,1658532287,64.75,177.4833,75,70,48.7,8.95
339,Blagoyevo,RU,1658532287,63.3667,47.9167,59,67,60.62,5.75
340,Paamiut,GL,1658532287,61.994,-49.6678,6,85,46.0,10.63
341,Youkounkoun,GN,1658532288,12.5333,-13.1333,100,99,73.81,4.47
342,Tuy Hoa,VN,1658532054,13.0833,109.3,99,88,76.24,2.95
343,Ilulissat,GL,1658532288,69.2167,-51.1,75,93,50.02,6.91
344,Umba,RU,1658532289,66.6871,34.3429,94,95,56.3,5.82
345,Lashio,MM,1658532289,22.9333,97.75,97,99,67.28,0.94
346,Suleja,NG,1658532289,9.1758,7.1808,100,98,70.34,2.8
347,Jumla,NP,1658532290,29.2747,82.1838,100,96,62.82,0.6
348,Asău,RO,1658532290,46.4333,26.4,6,81,68.95,3.69
349,Port Blair,IN,1658532290,11.6667,92.75,75,100,77.04,2.3
350,Tura,IN,1658532258,25.5198,90.2201,98,92,74.84,3.33
351,Maltahöhe,NA,1658532291,-24.8333,16.9833,2,34,54.5,4.07
352,Along,IN,1658532291,28.1667,94.7667,100,87,74.89,1.97
353,Rio Verde de Mato Grosso,BR,1658532292,-18.9181,-54.8442,8,32,77.99,3.0
354,Bubaque,GW,1658532292,11.2833,-15.8333,100,87,78.48,18.79
355,Burnie,AU,1658532060,-41.0667,145.9167,100,84,54.95,13.13
356,Monywa,MM,1658532293,22.1167,95.1333,100,82,79.3,8.61
357,Mossamedes,AO,1658532293,-15.1961,12.1522,4,82,62.65,3.96
